Id,SalePrice
1461,84247.2692334098
1462,103322.85515701064
1463,123548.05250726084
1464,130414.47688941525
1465,125067.44509477424
1466,112862.27441883968
1467,115031.23431244463
1468,106797.4661179275
1469,125820.25647659262
1470,82238.0135407382
1471,125734.86610161989
1472,67673.48630272603
1473,67032.40209222387
1474,97969.41539484572
1475,75817.11318705951
1476,227178.11664326495
1477,156637.6309013007
1478,177903.58621980454
1479,176268.10217539477
1480,356379.3108691022
1481,208596.51365145782
1482,129935.90553744615
1483,111869.3769409238
1484,102052.94733996918
1485,119824.72054467065
1486,128268.59869022071
1487,217808.41195981472
1488,150798.45876952994
1489,125353.33275908048
1490,149717.1422160963
1491,124320.16798641246
1492,68571.75365173236
1493,126701.12336086277
1494,192182.49783780347
1495,185157.36999119303
1496,152071.79181008835
1497,115460.04250314258
1498,105037.41673913584
1499,103742.29933231887
1500,99777.81081111425
1501,111468.803900166
1502,91057.17289635396
1503,186099.16869332825
1504,154980.3276415616
1505,145571.94801561226
1506,124190.89303537263
1507,165966.03947793273
1508,131688.2441385796
1509,105353.80133737937
1510,94834.110524995
1511,98914.74981530866
1512,112787.94057137384
1513,96174.7863819113
1514,113323.9366838504
1515,132499.6474854417
1516,100696.95643514911
1517,107874.89843268065
1518,88927.0611811473
1519,140618.78473860785
1520,86922.90248534144
1521,89535.96186086193
1522,115347.5786477422
1523,77494.59638534767
1524,85176.84517927948
1525,83311.80758722295
1526,78938.97530599362
1527,71766.6148809765
1528,91828.69538530627
1529,100790.13956915036
1530,122855.6033488954
1531,78067.3514330617
1532,69474.07365710994
1533,100725.20770745535
1534,86128.43550338279
1535,103170.87399813811
1536,76687.38862423654
1537,49780.79440676451
1538,110125.70556484802
1539,135823.2872560613
1540,73678.97793488733
1541,101643.64878544044
1542,98694.58549846975
1543,138161.0905742976
1544,59632.826297599095
1545,80918.68084104673
1546,91598.11901696202
1547,96246.85253681883
1548,94468.0314079983
1549,81109.25101691559
1550,94431.7463945694
1551,75584.86825536918
1552,100569.21784405873
1553,111899.16387747417
1554,83398.82066560654
1555,106945.39812626877
1556,63375.1585664928
1557,76513.91304918
1558,67634.08520451894
1559,59302.202316885436
1560,90107.09665529145
1561,93126.42346776398
1562,86028.0893089851
1563,82822.40328439036
1564,104325.7575955653
1565,101196.02446412915
1566,157084.21622550953
1567,55465.43983345167
1568,150897.0436586593
1569,90863.74799754971
1570,91886.32912684749
1571,80024.14518487213
1572,97652.89882479384
1573,155942.41704537187
1574,82389.32858664691
